2023-12-29 16:13:41 ,navigation,2,PASS,"Navigate test site","" 
2023-12-29 16:14:10 ,signup,3,PASS,"All field correctly without confirm password","" 
2023-12-29 16:14:39 ,signup,4,PASS,"All field correctly without password","" 
2023-12-29 16:15:08 ,signup,8,PASS,"All field entered correctly","" 
2023-12-29 16:15:13 ,login,4,PASS,"existing email and empty password","" 
2023-12-29 16:15:17 ,login,5,PASS,"non existing email and empty password","" 
2023-12-29 16:15:21 ,login,6,PASS,"non existing email and password","" 
2023-12-29 16:15:25 ,login,10,PASS,"existing email and password with symbols","" 
2023-12-29 16:15:29 ,login,11,PASS,"existing email and incorrect password","" 
2023-12-29 16:15:36 ,login,12,PASS,"Enter an existing username and correct password","" 
